,Year,NOC,Medal
0,1896,AUS,3
1,1896,AUT,5
2,1896,DEN,6
3,1896,FRA,11
4,1896,GBR,9
5,1896,GER,14
6,1896,GRE,44
7,1896,HUN,6
8,1896,SUI,3
9,1896,USA,19
10,1900,AUS,6
11,1900,AUT,6
12,1900,BEL,18
13,1900,BOH,3
14,1900,CAN,2
15,1900,COL,1
16,1900,CUB,2
17,1900,DEN,7
18,1900,ESP,1
19,1900,FRA,109
20,1900,GBR,43
21,1900,GER,9
22,1900,HAI,1
23,1900,HUN,5
24,1900,IND,2
25,1900,ITA,5
26,1900,LUX,1
27,1900,MEX,1
28,1900,NED,7
29,1900,NOR,5
30,1900,NZL,1
31,1900,SUI,9
32,1900,SWE,2
33,1900,USA,54
34,1904,AUS,4
35,1904,AUT,4
36,1904,CAN,6
37,1904,CUB,4
38,1904,FRA,2
39,1904,GBR,2
40,1904,GER,16
41,1904,GRE,2
42,1904,HUN,4
43,1904,NOR,2
44,1904,SUI,3
45,1904,USA,231
46,1906,AUS,3
47,1906,AUT,9
48,1906,BEL,7
49,1906,BOH,2
50,1906,CAN,2
51,1906,DEN,6
52,1906,FIN,4
53,1906,FRA,41
54,1906,GBR,25
55,1906,GER,14
56,1906,GRE,35
57,1906,HUN,10
58,1906,ITA,16
59,1906,NED,3
60,1906,NOR,2
61,1906,SUI,8
62,1906,SWE,14
63,1906,USA,23
64,1908,ANZ,5
65,1908,AUT,1
66,1908,BEL,8
67,1908,BOH,2
68,1908,CAN,16
69,1908,DEN,5
70,1908,FIN,5
71,1908,FRA,19
72,1908,GBR,145
73,1908,GER,13
74,1908,GRE,4
75,1908,HUN,9
76,1908,ITA,4
77,1908,NED,2
78,1908,NOR,8
79,1908,RSA,2
80,1908,RUS,3
81,1908,SWE,25
82,1908,USA,46
83,1912,ANZ,7
84,1912,AUT,4
85,1912,BEL,6
86,1912,CAN,8
87,1912,DEN,12
88,1912,FIN,26
89,1912,FRA,15
90,1912,GBR,41
91,1912,GER,26
92,1912,GRE,2
93,1912,HUN,8
94,1912,ITA,8
95,1912,NED,3
96,1912,NOR,10
97,1912,RSA,6
98,1912,RUS,5
99,1912,SUI,1
100,1912,SWE,65
101,1912,USA,63
102,1920,AUS,3
103,1920,BEL,42
104,1920,BRA,3
105,1920,CAN,9
