age,job,marital,education,balance,previous,deposit
59,admin.,married,secondary,2343,0,1
56,admin.,married,secondary,45,0,1
41,technician,married,secondary,1270,0,1
55,services,married,secondary,2476,0,1
54,admin.,married,tertiary,184,0,1
42,management,single,tertiary,0,0,1
56,management,married,tertiary,830,0,1
60,retired,divorced,secondary,545,0,1
37,technician,married,secondary,1,0,1
28,services,single,secondary,5090,0,1
38,admin.,single,secondary,100,0,1
30,blue-collar,married,secondary,309,0,1
29,management,married,tertiary,199,0,1
46,blue-collar,single,tertiary,460,0,1
31,technician,single,tertiary,703,0,1
35,management,divorced,tertiary,3837,0,1
32,blue-collar,single,primary,611,0,1
49,services,married,secondary,-8,0,1
41,admin.,married,secondary,55,0,1
49,admin.,divorced,secondary,168,0,1
28,admin.,divorced,secondary,785,0,1
43,management,single,tertiary,2067,0,1
43,management,divorced,tertiary,388,0,1
43,blue-collar,married,primary,-192,0,1
37,unemployed,single,secondary,381,0,1
35,blue-collar,single,secondary,40,0,1
31,technician,single,tertiary,22,0,1
43,blue-collar,single,secondary,3,0,1
31,admin.,married,secondary,307,0,1
28,blue-collar,single,secondary,759,0,1
32,blue-collar,married,secondary,-1,0,1
60,technician,married,primary,65,0,1
26,blue-collar,single,secondary,82,0,1
40,blue-collar,married,secondary,10,0,1
33,blue-collar,divorced,primary,390,0,1
32,management,single,tertiary,311,0,1
35,blue-collar,married,primary,414,0,1
33,management,divorced,secondary,5,0,1
38,management,married,tertiary,119,0,1
23,entrepreneur,single,primary,4,0,1
60,blue-collar,married,primary,1262,0,1
48,management,married,tertiary,1949,0,1
45,entrepreneur,divorced,tertiary,-395,0,1
36,blue-collar,married,secondary,1165,0,1
52,management,married,unknown,2240,0,1
35,blue-collar,divorced,primary,300,0,1
43,technician,married,secondary,3285,0,1
52,housemaid,married,secondary,3923,0,1
53,technician,divorced,primary,1443,0,1
48,blue-collar,divorced,primary,24,0,1
41,blue-collar,single,primary,1618,0,1
39,management,divorced,tertiary,517,0,1
59,retired,married,secondary,1521,0,1
41,blue-collar,married,secondary,2823,0,1
48,blue-collar,married,secondary,1405,0,1
40,admin.,married,secondary,1535,0,1
48,blue-collar,married,secondary,1596,0,1
60,retired,married,primary,1542,0,1
40,technician,single,unknown,3652,0,1
57,technician,married,tertiary,-1,0,1
51,blue-collar,married,secondary,7180,0,1
41,blue-collar,divorced,secondary,5291,0,1
41,blue-collar,married,secondary,1384,0,1
52,blue-collar,divorced,primary,-191,0,1
59,blue-collar,married,primary,320,0,1
44,blue-collar,married,unknown,146,0,1
49,unknown,married,primary,341,0,1
40,services,married,primary,-9,0,1
41,admin.,married,primary,-306,0,1
44,technician,married,tertiary,4580,0,1
60,services,single,primary,313,0,1
29,management,married,tertiary,10576,0,1
41,retired,divorced,primary,-233,0,1
41,blue-collar,married,primary,2453,0,1
42,technician,single,secondary,1364,0,1
36,services,single,unknown,281,0,1
39,technician,married,tertiary,94,0,1
31,self-employed,single,tertiary,144,0,1
26,blue-collar,married,secondary,246,0,1
31,blue-collar,married,secondary,92,0,1
29,admin.,single,secondary,163,0,1
37,services,divorced,secondary,49,0,1
33,blue-collar,single,secondary,-416,0,1
24,technician,single,secondary,409,0,1
50,admin.,divorced,secondary,363,0,1
27,technician,single,tertiary,3706,0,1
54,management,single,tertiary,4393,0,1
30,technician,single,secondary,863,0,1
34,blue-collar,married,primary,695,0,1
