type,id,name,lat,lon,cuisine,brand
node,48553537,Second Cup,43.6772079,-79.3528895,coffee_shop,Second Cup
node,53542349,Nord Lyon Cafe,43.6500196,-79.3909545,,
node,54965507,Tim Hortons,43.6523976,-79.4062653,coffee_shop,Tim Hortons
node,59566254,Tim Hortons,43.6434725,-79.3916769,coffee_shop,Tim Hortons
node,59566311,Starbucks,43.6453549,-79.3894561,coffee_shop,Starbucks
node,60930953,Tim Hortons,43.6681371,-79.3976093,coffee_shop,Tim Hortons
node,60930956,Starbucks,43.670435,-79.3936342,coffee_shop,Starbucks
node,60931257,Starbucks,43.6705964,-79.3900893,coffee_shop,Starbucks
node,67344938,Emily Rose Cafe,43.6675085,-79.4146202,,
node,79877659,Tim Hortons,43.7121778,-79.5348397,coffee_shop,Tim Hortons
node,95378352,Tim Hortons,43.6646502,-79.3841706,coffee_shop,Tim Hortons
node,176544089,Tim Hortons,43.6581672,-79.3996143,coffee_shop,Tim Hortons
node,246694096,Tim Hortons,43.6611444,-79.383289,coffee_shop,Tim Hortons
node,247134293,Tim Hortons,43.5929034,-79.5390715,coffee_shop,Tim Hortons
node,253433635,Tim Hortons,43.6567359,-79.3798973,coffee_shop,Tim Hortons
node,253818647,Cafe AC,43.663001,-79.4012579,coffee_shop,
node,260339225,Deco,43.6655003,-79.4639576,,
node,276474692,Mofer Coffee Front St,43.6483753,-79.3735627,coffee_shop,
node,276476517,Starbucks,43.6492696,-79.3782176,coffee_shop,Starbucks
node,277040113,Mofer Coffee,43.6832088,-79.3233512,,
node,278103212,Tim Hortons,43.6882494,-79.3004934,coffee_shop,Tim Hortons
node,279641656,Tim Hortons,43.6837787,-79.3223497,coffee_shop,Tim Hortons
node,280493843,Good Earth Coffeehouse,43.6650622,-79.3844475,,
node,280889469,Tim Hortons,43.6594983,-79.390945,coffee_shop,Tim Hortons
node,281361786,Ali Basha Cafe,43.6567243,-79.3754525,,
node,281664166,Lettieri,43.6505655,-79.3772703,,
node,281664356,Tim Hortons,43.6495049,-79.3768921,coffee_shop,Tim Hortons
node,281665202,Chatime,43.6503925,-79.371651,bubble_tea,Chatime
node,281668247,Tim Hortons,43.6479642,-79.3761252,coffee_shop,Tim Hortons
node,281669476,Tim Hortons,43.6514399,-79.379004,coffee_shop,Tim Hortons
node,288058001,Starbucks,43.7040624,-79.4118353,coffee_shop,Starbucks
node,295319870,Starbucks,43.6713495,-79.380646,coffee_shop,Starbucks
node,302045033,Tim Hortons,43.7989574,-79.3696355,coffee_shop,Tim Hortons
node,302045062,Leslie Cafe,43.7910039,-79.3671237,,
node,302416906,Tim Hortons,43.805601,-79.3842086,coffee_shop,Tim Hortons
node,304899718,Tim Hortons,43.666716,-79.4041802,coffee_shop,Tim Hortons
node,304899767,Second Cup,43.6633456,-79.4017693,coffee_shop,Second Cup
node,305489899,Coffee Time,43.7874154,-79.2671597,coffee_shop,Coffee Time
node,306328612,Tim Hortons,43.6721688,-79.3769798,coffee_shop,Tim Hortons
node,307781391,Bar 700,43.715464,-79.4904091,,
node,308447579,Family Bakery Cafe,43.6923298,-79.3158613,,
node,308697096,Starbucks,43.6681256,-79.3886125,coffee_shop,Starbucks
node,308808289,,43.6540899,-79.3929752,closed,
node,310142481,Tim Hortons,43.7132445,-79.5802037,coffee_shop,Tim Hortons
node,310957327,Coffee Time,43.6862265,-79.3111587,coffee_shop,Coffee Time
node,314935050,Starbucks,43.7048071,-79.3615832,coffee_shop,Starbucks
node,315645175,Country Style,43.6674983,-79.3119364,coffee_shop,Country Style
node,315662287,Espro,43.6711212,-79.2956121,coffee_shop;crepe,
node,331078296,Tim Hortons,43.6798374,-79.3450512,coffee_shop,Tim Hortons
node,332338882,Tim Hortons,43.6690141,-79.389389,coffee_shop,Tim Hortons
node,333553037,Second Cup,43.6625562,-79.3988018,coffee_shop,Second Cup
node,333553179,Second Cup,43.6592607,-79.3969162,coffee_shop,Second Cup
node,333553652,Second Cup,43.6664023,-79.3989301,coffee_shop,Second Cup
node,339551811,Coffee Time,43.7317677,-79.4591795,coffee_shop,Coffee Time
node,343275864,Artistic Grounds,43.6467763,-79.4035602,,
node,344473397,Incha,43.6595884,-79.3850265,bubble_tea,
node,354973069,Second Cup,43.6446134,-79.3881299,coffee_shop,Second Cup
node,354974891,Coffee Time,43.6525776,-79.3986732,coffee_shop,Coffee Time
node,366654928,Tim Hortons,43.7930602,-79.3545393,coffee_shop,Tim Hortons
node,367757826,Tim Hortons,43.7561075,-79.5162232,coffee_shop,Tim Hortons
node,370214388,Second Cup,43.6474776,-79.5116318,coffee_shop,Second Cup
node,373153520,Tim Hortons,43.7729662,-79.507711,coffee_shop,Tim Hortons
node,380038289,True Love Cafe,43.6584295,-79.3713273,,
node,380039980,Tim Hortons,43.6531804,-79.368843,coffee_shop,Tim Hortons
node,380040031,The Black Canary Espresso Bar,43.6518751,-79.3683156,,
node,380041239,Au Pain Doré Bakery,43.6487095,-79.3727108,coffee_shop,
node,380042650,Starbucks,43.6461941,-79.3800608,coffee_shop,Starbucks
node,382800173,Tim Hortons,43.737047,-79.2179255,coffee_shop,Tim Hortons
node,382893466,Tim Hortons,43.7988794,-79.2418071,coffee_shop,Tim Hortons
node,383551142,Tim Hortons,43.6833977,-79.56452,coffee_shop,Tim Hortons
node,383630028,Tim Hortons,43.6957548,-79.4491365,coffee_shop,Tim Hortons
node,384751683,Tim Hortons,43.7574238,-79.2292345,coffee_shop,Tim Hortons
node,387449942,Real Fruit Bubble Tea,43.6642478,-79.415804,bubble_tea,Real Fruit Bubble Tea
node,387456095,Snakes & Lattes,43.6648174,-79.4132102,,
node,390360901,Starbucks,43.7691253,-79.3866003,coffee_shop,Starbucks
node,390360902,Lettieri,43.7691839,-79.3840345,,
node,390534329,Tim Hortons,43.6606025,-79.3833845,coffee_shop,Tim Hortons
node,390997489,Pigeon Coffee,43.6470364,-79.3781441,coffee_shop,
node,391086244,Kelly's Cafe,43.6649756,-79.3893858,,
node,391090202,Tim Hortons,43.6646214,-79.3874964,coffee_shop,Tim Hortons
node,391177053,Tim Hortons,43.6478593,-79.3845697,coffee_shop,Tim Hortons
node,392095506,Second Cup,43.7473185,-79.3848843,coffee_shop,Second Cup
node,392097955,Tim Hortons,43.7550408,-79.3515928,coffee_shop,Tim Hortons
node,392098242,Tim Hortons,43.6984387,-79.3969693,coffee_shop,Tim Hortons
node,392157020,Starbucks,43.7051764,-79.3747198,coffee_shop,Starbucks
node,392509159,Tim Hortons,43.7063461,-79.3980251,coffee_shop,Tim Hortons
node,400710181,Second Cup,43.6525323,-79.3801612,coffee_shop,Second Cup
node,400914580,Second Cup,43.6529779,-79.3775788,coffee_shop,Second Cup
node,400917823,Starbucks,43.6523258,-79.3782736,coffee_shop,Starbucks
node,400943529,Starbucks,43.6565629,-79.3804948,coffee_shop,Starbucks
node,406932478,Tim Hortons,43.7251722,-79.4492251,coffee_shop,Tim Hortons
node,409183194,Jjin Toast,43.6653528,-79.4114478,,
node,410375784,Tim Hortons,43.7259831,-79.4824183,coffee_shop,Tim Hortons
node,410798906,Coffee Time,43.7676749,-79.4742766,coffee_shop,Coffee Time
node,410801078,Starbucks,43.779878,-79.4163398,coffee_shop,Starbucks
node,410953413,Tim Hortons,43.676668,-79.4115944,coffee_shop,Tim Hortons
node,415843942,Starbucks,43.6396349,-79.5374684,coffee_shop,Starbucks
node,416731442,Tim Hortons,43.6497393,-79.3872682,coffee_shop,Tim Hortons
node,417232579,Starbucks,43.7225487,-79.415293,coffee_shop,Starbucks
node,418868604,Tim Hortons,43.6383789,-79.5387868,coffee_shop,Tim Hortons
node,420542926,Athens Pastries,43.677997,-79.3488265,,
node,420542932,Fresh,43.6774638,-79.3532242,,
node,420549580,Starbucks,43.6400113,-79.3809763,coffee_shop,Starbucks
node,427687185,Tim Hortons,43.770004,-79.2603646,coffee_shop,Tim Hortons
node,432773382,Tim Hortons,43.7008268,-79.5117018,coffee_shop,Tim Hortons
node,432777546,Tim Hortons,43.6060646,-79.5205443,coffee_shop,Tim Hortons
node,436015131,Tim Hortons,43.8346956,-79.2570189,coffee_shop,Tim Hortons
node,436893986,Country Style,43.7804646,-79.2057573,coffee_shop,Country Style
node,436904205,Coffee Time,43.7740499,-79.2411899,coffee_shop,Coffee Time
node,436926526,Tim Hortons,43.7852497,-79.3100838,coffee_shop,Tim Hortons
node,436950518,Tim Hortons,43.7270683,-79.3271912,coffee_shop,Tim Hortons
node,437988608,Tim Hortons,43.7582682,-79.3124216,coffee_shop,Tim Hortons
node,437992167,Starbucks,43.7722704,-79.3212145,coffee_shop,Starbucks
node,441031354,Red Rocket Coffee,43.6824668,-79.3284933,,
node,453882215,Starbucks,43.7682873,-79.4128946,coffee_shop,Starbucks
node,461587766,Tim Hortons,43.7807843,-79.415514,coffee_shop,Tim Hortons
node,468417887,Starbucks,43.6645938,-79.3998389,coffee_shop,Starbucks
node,470069870,Fantail,43.6492269,-79.4500005,coffee_shop,
node,473533899,Starbucks,43.7837722,-79.2532651,coffee_shop,Starbucks
node,474956795,Mr. Beans,43.7795998,-79.1378601,,
node,474958377,Tim Hortons,43.8018007,-79.1991102,coffee_shop,Tim Hortons
node,474960363,Tim Hortons,43.7012922,-79.4524243,coffee_shop,Tim Hortons
node,474967370,Tim Hortons,43.7728857,-79.4423413,coffee_shop,Tim Hortons
node,474968531,Coffee Time,43.7871853,-79.4176059,coffee_shop,Coffee Time
node,475881505,Balzac's Coffee,43.6497558,-79.3591233,,
node,491599549,Second Cup,43.6976755,-79.3962468,coffee_shop,Second Cup
node,491912606,Aroma Espresso Bar,43.6421888,-79.3836179,coffee_shop,Aroma Espresso Bar
node,495306722,Starbucks Reserve,43.735945,-79.3441736,coffee_shop,Starbucks Reserve
node,502049924,Tim Hortons,43.6779919,-79.4435872,coffee_shop,Tim Hortons
node,502783306,Tim Hortons,43.7642151,-79.4888265,coffee_shop,Tim Hortons
node,515553262,UB Social,43.665353,-79.4697346,,
node,515618887,Timothy's,43.6513903,-79.3766167,coffee_shop,Timothy's
node,516605608,Tim Hortons,43.6508685,-79.4396329,coffee_shop,Tim Hortons
node,517226078,Second Cup,43.7287178,-79.402946,coffee_shop,Second Cup
node,517226081,Starbucks,43.7298203,-79.4036331,coffee_shop,Starbucks
node,517227450,Coffee Time,43.7321131,-79.403765,coffee_shop,Coffee Time
node,518259998,Cherry Bomb,43.6414827,-79.4470227,coffee_shop,
node,520060495,Brownsline Donuts,43.6079228,-79.5483125,,
