outcome,purpose_,dti,borrower_score,payment_inc_ratio
0,debt_consolidation,21.23,0.4,5.11135
1,credit_card,15.49,0.4,5.43165
0,debt_consolidation,27.3,0.7,9.23003
0,major_purchase,21.11,0.4,2.33482
1,debt_consolidation,16.46,0.45,12.1032
0,debt_consolidation,12.12,0.5,3.89391
1,debt_consolidation,29.79,0.4,7.0039
0,debt_consolidation,7.94,0.4,10.0407
0,debt_consolidation,10.81,0.55,3.54972
0,debt_consolidation,16.37,0.45,7.50984
1,other,11.42,0.4,1.82061
0,debt_consolidation,7.22,0.6,11.1794
0,debt_consolidation,12.95,0.45,3.16523
1,credit_card,14.79,0.5,2.42371
0,home_improvement,16.75,0.75,3.904
0,debt_consolidation,25.71,0.75,9.10638
1,debt_consolidation,22.37,0.3,8.25
0,debt_consolidation,17.73,0.65,7.08316
0,debt_consolidation,21.78,0.45,8.94878
1,credit_card,8.18,0.7,8.39775
1,home_improvement,11.52,0.6,11.4713
1,debt_consolidation,21.7,0.45,9.32833
0,other,18.67,0.6,2.40435
1,debt_consolidation,33.32,0.25,15.5251
1,home_improvement,23.37,0.45,9.09314
1,debt_consolidation,21.63,0.55,10.2228
1,debt_consolidation,25.0,0.35,12.835
1,home_improvement,16.57,0.4,3.82205
0,debt_consolidation,18.62,0.55,10.7362
0,debt_consolidation,14.25,0.4,8.2005
1,credit_card,25.74,0.55,13.8554
1,debt_consolidation,21.16,0.4,10.4125
1,other,10.0,0.5,3.59956
1,small_business,14.19,0.6,6.82133
1,other,15.4,0.45,8.22563
1,debt_consolidation,13.76,0.5,9.88155
0,credit_card,14.76,0.65,2.84045
1,debt_consolidation,18.62,0.5,7.03965
1,credit_card,6.82,0.4,10.6259
1,credit_card,13.74,0.65,5.15085
0,debt_consolidation,8.52,0.45,10.1452
0,debt_consolidation,10.91,0.55,8.15486
1,debt_consolidation,15.42,0.3,10.3016
1,debt_consolidation,20.62,0.45,4.5407
0,debt_consolidation,12.74,0.3,5.83543
0,home_improvement,7.41,0.55,5.45952
0,debt_consolidation,4.8,0.2,5.08357
0,other,11.47,0.25,3.94074
0,debt_consolidation,10.43,0.8,3.46604
1,home_improvement,13.38,0.45,8.50271
1,other,19.35,0.3,2.98882
1,other,10.1,0.4,6.69395
1,other,20.37,0.35,3.37517
1,debt_consolidation,16.94,0.35,6.67834
0,small_business,4.9,0.55,2.54547
1,debt_consolidation,12.71,0.5,5.19924
0,home_improvement,0.62,0.65,4.12045
0,small_business,13.15,0.55,5.72613
