Transaction_ID,Product_Category,Location,Order_Size,Price,Coupon,Return_Last_Year,returned
TX5170,Home,rural,4,46.34,yes,0,0
TX2462,Sports,rural,6,46.29,no,0,0
TX9673,Beauty,city,5,48.47,yes,0,0
TX7125,Beauty,rural,4,54.82,no,0,0
TX6799,Electronics,rural,5,53.43,yes,0,0
TX8766,Sports,city,4,62.45,yes,0,0
TX4791,Home,rural,4,57.53,no,0,0
TX7851,Beauty,rural,6,44.89,no,0,0
TX5246,Sports,rural,6,61.27,no,0,0
TX4817,Home,city,5,33.4,yes,0,0
TX1332,Beauty,city,4,46.41,no,0,0
TX6678,Books,rural,5,60.14,yes,3,0
TX174,Sports,city,6,42.91,no,0,0
TX7801,Books,rural,6,52.17,no,0,0
TX1047,Beauty,city,5,62.26,yes,0,0
TX8827,Home,rural,6,55.41,no,0,0
TX8724,Beauty,rural,3,52.81,no,4,0
TX7655,Sports,city,6,52.01,yes,2,1
TX8018,Sports,city,5,59.4,yes,0,0
TX1778,Sports,city,6,52.44,no,0,0
TX3185,Beauty,city,3,46.95,no,1,0
TX2287,Books,rural,6,51.44,yes,0,0
TX9507,Beauty,city,6,55.67,yes,0,0
TX4998,Books,rural,3,43.08,yes,0,0
TX5539,Beauty,rural,5,41.45,yes,0,0
TX4459,Sports,rural,6,46.44,yes,0,0
TX4156,Home,rural,4,61.8,no,1,0
TX628,Beauty,city,5,60.71,yes,0,0
TX5363,Sports,city,4,53.68,no,0,0
TX3964,Electronics,rural,4,52.99,yes,0,0
TX7460,Electronics,rural,5,53.33,no,0,1
TX9572,Beauty,rural,6,49.81,yes,0,0
TX3007,Home,rural,6,46.11,no,0,0
TX8263,Books,rural,6,65.42,yes,1,0
TX4619,Sports,city,2,38.17,no,2,0
TX3740,Beauty,rural,3,49.4,no,0,0
TX2383,Electronics,rural,6,51.05,yes,2,0
TX6578,Sports,city,6,73.97,yes,0,0
TX7641,Sports,rural,5,40.1,no,8,0
TX8633,Sports,rural,2,53.0,yes,4,0
TX3662,Books,rural,6,58.15,yes,0,0
TX3334,Beauty,city,5,55.19,yes,1,0
TX4188,Home,city,4,47.18,yes,0,0
TX9388,Beauty,city,6,28.62,yes,0,0
TX5895,Beauty,rural,4,44.1,no,0,0
TX6831,Home,city,4,42.44,yes,0,0
TX4435,Sports,rural,6,52.16,no,0,0
TX9246,Sports,city,5,57.13,no,0,0
TX6677,Sports,rural,5,46.43,yes,5,0
TX836,Sports,rural,5,43.24,yes,7,0
TX1236,Books,rural,4,51.16,yes,0,0
TX6544,Beauty,rural,3,59.27,yes,1,0
TX4533,Sports,city,6,48.61,yes,0,0
TX5545,Beauty,city,6,55.37,yes,0,0
TX4803,Sports,city,5,44.37,yes,0,0
TX2114,Books,rural,6,37.19,no,1,0
TX2857,Sports,city,4,53.01,no,0,0
TX8234,Sports,city,6,39.25,yes,0,0
TX8579,Sports,rural,1,54.8,no,8,0
TX8550,Books,rural,5,43.13,yes,2,0
TX1566,Electronics,rural,5,49.79,no,0,0
TX1543,Electronics,rural,2,53.32,no,0,0
TX1031,Beauty,rural,6,51.34,no,0,0
TX8469,Books,rural,2,43.05,no,0,1
TX4190,Books,rural,5,54.02,no,0,0
TX2657,Electronics,rural,4,38.99,no,0,0
TX9987,Electronics,rural,6,44.2,no,0,0
TX6403,Electronics,rural,1,45.68,yes,0,0
TX9011,Beauty,rural,6,67.76,yes,5,0
TX2565,Home,rural,2,38.05,yes,0,0
TX2693,Beauty,rural,6,54.34,yes,0,0
TX7528,Books,rural,6,46.87,yes,0,0
TX536,Electronics,rural,4,52.06,no,0,0
TX2007,Home,rural,6,49.68,no,3,0
TX2650,Sports,rural,4,40.91,no,0,0
TX6459,Beauty,city,5,54.89,yes,1,0
TX2036,Electronics,rural,5,57.11,yes,0,0
TX1166,Beauty,city,3,52.55,yes,2,0
TX7860,Home,rural,6,57.93,yes,1,0
TX3003,Books,rural,5,45.21,no,0,0
TX8776,Home,rural,4,53.07,no,0,0
TX3989,Books,rural,4,33.11,no,0,0
TX5843,Books,rural,4,53.65,yes,0,0
TX9708,Sports,city,5,46.99,no,0,0
TX4287,Books,rural,4,68.93,no,0,0
TX1901,Home,rural,5,49.96,no,4,0
TX2647,Books,rural,5,59.09,no,0,0
TX7238,Sports,rural,5,28.82,yes,0,0
TX7461,Home,rural,3,61.83,no,0,0
TX1248,Sports,rural,4,58.41,yes,8,0
TX3068,Books,rural,3,49.08,no,2,0
TX71,Sports,rural,3,47.04,no,1,0
TX8848,Books,rural,5,50.98,no,0,0
TX98,Books,rural,6,59.05,yes,0,0
TX9177,Books,rural,5,60.22,yes,0,0
TX5577,Beauty,city,5,46.1,yes,0,0
TX5114,Beauty,city,5,46.56,no,0,0
TX5195,Sports,rural,5,52.47,no,5,0
TX6510,Beauty,city,3,53.39,yes,0,0
TX376,Sports,rural,4,54.58,no,2,0
TX189,Sports,rural,4,55.57,no,2,0
TX1986,Beauty,rural,2,35.54,no,0,0
TX1018,Books,rural,6,45.96,no,0,0
TX38,Beauty,rural,4,59.4,no,1,0
TX9140,Sports,city,3,47.2,no,0,0
TX4593,Home,rural,5,49.54,yes,1,0
TX1871,Home,rural,5,58.14,no,3,0
TX6256,Sports,rural,6,37.93,yes,0,0
TX3801,Electronics,rural,5,39.75,yes,0,0
TX69,Electronics,rural,6,55.78,yes,0,0
TX1824,Books,rural,5,50.57,yes,0,0
TX6065,Home,rural,2,48.75,yes,0,0
TX8916,Sports,rural,2,58.3,no,0,0
TX1469,Home,rural,6,33.54,yes,0,0
TX7357,Sports,city,5,51.97,yes,0,0
TX2681,Books,rural,6,50.71,yes,1,0
TX282,Sports,city,6,62.94,no,0,0
TX2459,Home,rural,3,43.57,no,1,0
TX2474,Sports,rural,4,38.31,no,0,0
TX4029,Home,rural,3,67.47,yes,0,0
TX8690,Electronics,rural,5,40.95,no,1,0
TX2301,Sports,city,3,53.47,yes,0,0
TX7065,Beauty,city,4,39.01,no,0,0
TX3879,Beauty,city,4,60.18,no,0,0
TX5233,Sports,rural,5,46.1,yes,2,0
TX1188,Books,rural,5,31.23,no,0,0
TX2419,Home,rural,3,47.36,no,0,0
TX7954,Sports,rural,6,57.37,no,1,0
TX8433,Sports,city,6,49.05,no,0,0
TX7387,Home,rural,5,53.29,no,2,0
TX2788,Sports,rural,3,38.32,no,1,0
TX9142,Home,rural,6,37.8,yes,0,0
TX1345,Electronics,rural,3,41.33,yes,0,0
TX5610,Beauty,city,3,41.25,no,1,0
TX6435,Sports,city,6,46.02,no,1,0
TX8003,Electronics,rural,6,62.63,yes,0,0
TX1667,Books,rural,6,40.05,no,0,0
TX3835,Books,rural,4,52.74,yes,0,0
TX8435,Books,rural,5,30.62,yes,0,0
TX4063,Electronics,rural,3,46.59,yes,0,0
TX9477,Home,rural,5,55.18,no,0,0
TX5007,Home,rural,6,45.07,yes,0,0
TX4926,Sports,rural,6,43.94,yes,0,0
TX8412,Sports,rural,5,46.93,yes,5,0
TX9192,Sports,city,5,49.34,yes,0,0
TX6349,Beauty,city,4,43.12,no,0,0
TX7409,Sports,city,2,37.74,no,0,0
TX6883,Home,city,6,40.82,yes,0,0
TX1954,Beauty,rural,5,45.27,yes,4,0
TX2556,Books,rural,6,61.04,no,0,0
TX2004,Fashion,rural,4,17.46,no,0,0
TX8462,Beauty,rural,3,57.92,yes,0,0
TX3745,Sports,city,4,56.65,yes,0,0
TX8013,Electronics,rural,4,54.78,yes,0,0
TX3982,Beauty,city,2,38.6,yes,0,0
TX9171,Home,rural,6,65.69,yes,5,0
TX3446,Electronics,rural,5,53.68,no,0,0
TX7764,Beauty,city,6,61.14,yes,0,0
TX4188,Beauty,rural,4,44.63,yes,0,0
TX9015,Electronics,rural,5,58.9,yes,0,0
TX3867,Beauty,city,4,54.86,no,0,0
TX578,Beauty,city,3,54.82,no,0,0
TX1790,Electronics,rural,4,41.02,no,0,0
TX3712,Sports,city,1,49.56,yes,0,0
TX1208,Sports,city,2,61.72,no,0,0
TX4324,Home,rural,6,40.64,yes,0,0
TX36,Beauty,city,5,50.21,yes,0,0
TX6920,Beauty,city,6,67.49,yes,0,0
TX9831,Sports,rural,6,46.58,no,0,0
TX9102,Books,rural,4,48.13,yes,0,0
TX1225,Sports,city,2,53.68,yes,0,0
TX3031,Home,rural,6,45.73,no,0,0
TX8554,Beauty,rural,6,56.73,yes,3,0
TX1159,Sports,rural,1,53.66,yes,5,0
TX1769,Beauty,rural,4,46.63,yes,0,0
TX7154,Books,rural,3,62.26,no,0,0
TX1565,Beauty,rural,4,20.96,no,3,0
TX7948,Sports,city,6,43.35,no,0,0
TX9571,Beauty,rural,6,58.79,no,2,0
TX5677,Home,city,5,40.72,yes,0,0
TX5025,Beauty,city,4,30.03,yes,0,0
