State,Population,Murder.Rate,Grad.Rate,Abbreviation
Alabama,4779736,5.7,72,AL
Alaska,710231,5.6,68,AK
Arizona,6392017,4.7,78,AZ
Arkansas,2915918,5.6,81,AR
California,37253956,4.4,76,CA
Colorado,5029196,2.8,74,CO
Connecticut,3574097,2.4,83,CT
Delaware,897934,5.8,78,DE
Florida,18801310,5.8,71,FL
Georgia,9687653,5.7,67,GA
Hawaii,1360301,1.8,80,HI
Idaho,1567582,2,93,ID
Illinois,12830632,5.3,84,IL
Indiana,6483802,5,86,IN
Iowa,3046355,1.9,88,IA
Kansas,2853118,3.1,83,KS
Kentucky,4339367,3.6,77,KY
Louisiana,4533372,10.3,71,LA
Maine,1328361,1.6,84,ME
Maryland,5773552,6.1,83,MD
Massachusetts,6547629,2,83,MA
Michigan,9883640,5.4,74,MI
Minnesota,5303925,1.6,77,MN
Mississippi,2967297,8.6,75,MS
Missouri,5988927,6.6,81,MO
Montana,989415,3.6,82,MT
Nebraska,1826341,2.9,86,NE
Nevada,2700551,6,62,NV
New Hampshire,1316470,0.9,86,NH
New Jersey,8791894,3.9,83,NJ
New Mexico,2059179,4.8,63,NM
New York,19378102,3.1,77,NY
North Carolina,9535483,5.1,78,NC
North Dakota,672591,3,86,ND
Ohio,11536504,4,80,OH
Oklahoma,3751351,4.5,74,OK
Oregon,3831074,2,68,OR
Pennsylvania,12702379,4.8,83,PA
Rhode Island,1052567,2.4,77,RI
South Carolina,4625364,6.4,74,SC
South Dakota,814180,2.3,83,SD
Tennessee,6346105,5.7,86,TN
Texas,25145561,4.4,86,TX
Utah,2763885,2.3,76,UT
Vermont,625741,1.6,87,VT
Virginia,8001024,4.1,82,VA
Washington,6724540,2.5,76,WA
West Virginia,1852994,4,78,WV
Wisconsin,5686986,2.9,87,WI
Wyoming,563626,2.7,80,WY
