video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled
a-4_6bThk2E,666861,16006,916,3686,FALSE,FALSE
5O6iNs0cEIU,239156,1598,252,327,FALSE,FALSE
RF-Mqs2qC-M,175490,9514,245,1070,FALSE,FALSE
YPR8K4TQ88M,1233755,8823,268,156,FALSE,FALSE
HQw0LJbwHY4,108850,730,46,67,FALSE,FALSE
oyBfefx7I6c,1602851,28896,1214,2109,FALSE,FALSE
yJqsPBWbtjk,1043726,24890,4292,11235,FALSE,FALSE
fZmtdMiD_c4,756650,13042,768,1235,FALSE,FALSE
ChF_ypmiIs8,55467,2520,279,261,FALSE,FALSE
eroexhJFTV4,49575,2562,130,461,FALSE,FALSE
Tbk-L0woO8Y,90271,4494,30,419,FALSE,FALSE
kP9Sr2awCmM,161885,15052,111,1086,FALSE,FALSE
GpTslx8-f5Y,27672,43,3,45,FALSE,FALSE
nys9ETT-1ss,26822,2197,22,214,FALSE,FALSE
OtL1fEEtLaA,844012,21100,915,6901,FALSE,FALSE
uTGsMan-6Ss,261128,32078,91,2021,FALSE,FALSE
S4M_bpWd3bg,555601,2666,513,665,FALSE,FALSE
kRYxmSFdTpk,46240,5005,23,207,FALSE,FALSE
UH0nTHb6OdY,1495447,45548,1174,7590,FALSE,FALSE
F4X_oShJVo8,162888,2901,468,664,FALSE,FALSE
6Y65fxIRs8Q,2851205,36668,2734,4209,FALSE,FALSE
rugoBphAaIE,240325,580,372,340,FALSE,FALSE
mYSxQT5c2wk,286319,7977,255,498,FALSE,FALSE
EdetWtZDTsE,857687,2449,780,231,FALSE,FALSE
gS1DbvHHVH0,1058246,102940,707,18157,FALSE,FALSE
IawKU9nOwHA,781539,52002,747,4996,FALSE,FALSE
4lQGVR6MBOg,584584,3986,149,811,FALSE,FALSE
-59U4Bgn8V0,678161,41055,368,1714,FALSE,FALSE
qjFR0o564zY,92778,526,83,341,FALSE,FALSE
Ct9BFr9XBaI,423463,14968,501,1083,FALSE,FALSE
wm5fj77R8aI,1923885,7873,1243,1203,FALSE,FALSE
aBkHb8e3UAk,1487593,72786,1759,6510,FALSE,FALSE
CB9ZqoPdPho,523563,26170,680,5228,FALSE,FALSE
2jNFymV3J-M,185781,2899,34,420,FALSE,FALSE
fSG1taRcEjU,91302,1199,90,290,FALSE,FALSE
dVD4W5e_X2A,147272,9959,105,531,FALSE,FALSE
dY6JBxGnDKY,27762,408,10,26,FALSE,FALSE
08vIy0y1N9I,888895,37218,448,2584,FALSE,FALSE
GDuJr3KG-Qk,141179,928,68,121,FALSE,FALSE
UsciN7COX1g,2788033,39291,2447,5223,FALSE,FALSE
hbuGUeRuYd4,364989,19355,293,3034,FALSE,FALSE
ROYA4u7cuR4,398808,15523,116,698,FALSE,FALSE
tuIVZ9k-0tc,436154,6507,222,1436,FALSE,FALSE
ceXPzJ0fZNs,620814,52278,307,6909,FALSE,FALSE
PKFe2N7Xylw,489447,24095,319,2697,FALSE,FALSE
v3y7FE76H7c,169209,13654,231,553,FALSE,FALSE
oS07bQTPZ20,3947934,23722,2183,4769,FALSE,FALSE
jtTqhoCo7_w,193504,271,28,13,FALSE,FALSE
7X_WvGAhMlQ,10804447,46063,6828,39322,FALSE,FALSE
G63TF6OMa_8,340850,8904,136,578,FALSE,FALSE
H-g3Jurb60Y,411888,2297,420,320,FALSE,FALSE
eDyt4tlfD4w,400795,20917,830,3948,FALSE,FALSE
4L-BPQVZYXM,850117,36676,783,4596,FALSE,FALSE
3OCEb7pZwhc,154318,308,236,52,FALSE,FALSE
