,C0,C1,C2,C3,C4,C5,C6
0,a-4_6bThk2E,666861,16006,916,3686,False,False
1,5O6iNs0cEIU,239156,1598,252,327,False,False
2,RF-Mqs2qC-M,175490,9514,245,1070,False,False
3,YPR8K4TQ88M,1233755,8823,268,156,False,False
4,HQw0LJbwHY4,108850,730,46,67,False,False
5,oyBfefx7I6c,1602851,28896,1214,2109,False,False
6,yJqsPBWbtjk,1043726,24890,4292,11235,False,False
7,fZmtdMiD_c4,756650,13042,768,1235,False,False
8,ChF_ypmiIs8,55467,2520,279,261,False,False
9,eroexhJFTV4,49575,2562,130,461,False,False
10,Tbk-L0woO8Y,90271,4494,30,419,False,False
11,kP9Sr2awCmM,161885,15052,111,1086,False,False
12,GpTslx8-f5Y,27672,43,3,45,False,False
13,nys9ETT-1ss,26822,2197,22,214,False,False
14,OtL1fEEtLaA,844012,21100,915,6901,False,False
15,uTGsMan-6Ss,261128,32078,91,2021,False,False
16,S4M_bpWd3bg,555601,2666,513,665,False,False
17,kRYxmSFdTpk,46240,5005,23,207,False,False
18,UH0nTHb6OdY,1495447,45548,1174,7590,False,False
19,F4X_oShJVo8,162888,2901,468,664,False,False
20,6Y65fxIRs8Q,2851205,36668,2734,4209,False,False
21,rugoBphAaIE,240325,580,372,340,False,False
22,mYSxQT5c2wk,286319,7977,255,498,False,False
23,EdetWtZDTsE,857687,2449,780,231,False,False
24,gS1DbvHHVH0,1058246,102940,707,18157,False,False
25,IawKU9nOwHA,781539,52002,747,4996,False,False
26,4lQGVR6MBOg,584584,3986,149,811,False,False
27,-59U4Bgn8V0,678161,41055,368,1714,False,False
28,qjFR0o564zY,92778,526,83,341,False,False
29,Ct9BFr9XBaI,423463,14968,501,1083,False,False
30,wm5fj77R8aI,1923885,7873,1243,1203,False,False
31,aBkHb8e3UAk,1487593,72786,1759,6510,False,False
32,CB9ZqoPdPho,523563,26170,680,5228,False,False
33,2jNFymV3J-M,185781,2899,34,420,False,False
34,fSG1taRcEjU,91302,1199,90,290,False,False
35,dVD4W5e_X2A,147272,9959,105,531,False,False
36,dY6JBxGnDKY,27762,408,10,26,False,False
37,08vIy0y1N9I,888895,37218,448,2584,False,False
38,GDuJr3KG-Qk,141179,928,68,121,False,False
39,UsciN7COX1g,2788033,39291,2447,5223,False,False
40,hbuGUeRuYd4,364989,19355,293,3034,False,False
41,ROYA4u7cuR4,398808,15523,116,698,False,False
42,tuIVZ9k-0tc,436154,6507,222,1436,False,False
43,ceXPzJ0fZNs,620814,52278,307,6909,False,False
44,PKFe2N7Xylw,489447,24095,319,2697,False,False
45,v3y7FE76H7c,169209,13654,231,553,False,False
46,oS07bQTPZ20,3947934,23722,2183,4769,False,False
47,jtTqhoCo7_w,193504,271,28,13,False,False
48,7X_WvGAhMlQ,10804447,46063,6828,39322,False,False
49,G63TF6OMa_8,340850,8904,136,578,False,False
50,H-g3Jurb60Y,411888,2297,420,320,False,False
51,eDyt4tlfD4w,400795,20917,830,3948,False,False
52,4L-BPQVZYXM,850117,36676,783,4596,False,False
53,3OCEb7pZwhc,154318,308,236,52,False,False
54,qg2nGY1aqlg,1176895,80492,445,11573,False,False
55,l_IFnDydIeQ,804534,17185,845,898,False,False
56,K9MZPp1h690,63608,1249,95,606,False,False
57,OKj4GAWzZZg,212992,6625,202,687,False,False
58,3VbHg5fqBYw,3111226,127079,12403,18233,False,False
59,Th8rBDgarTM,289570,4223,371,900,False,False
60,h7aTgzufrVo,611652,35021,249,5120,False,False
61,znK545Ex86I,256471,4514,49,379,False,False
62,8x7UtZKwfHA,1457379,48970,2964,10767,False,False
63,WnClnjjJHhg,249173,3473,463,664,False,False
64,P1yrP4VTHFs,383437,7381,124,753,False,False
65,XmwwmV8FE64,87996,429,99,318,False,False
66,rwRR_mxPJhM,641879,18718,436,163,False,False
67,dmY9PY_IoYY,317315,7632,190,710,False,False
68,Oyq8Di01nN8,587807,11747,946,2321,False,False
69,XtlLI_pBC3s,2803696,185532,3630,21900,False,False
70,yBeXeGuluM8,435432,16583,323,3266,False,False
71,u5lxsBjCGc0,15343697,129211,4942,4106,False,False
72,HjoJqZDjxgI,369123,6659,334,1525,False,False
73,_b15m0x-Qis,125797,83,29,143,False,False
74,6rEkKWXCcR4,379935,25924,157,2230,False,False
75,_BcYBFC6zfY,2269711,76630,3689,17243,False,False
76,VQhjbCxOxdo,279832,23863,205,1508,False,False
77,D3ylvIS7Iqk,123551,337,26,158,False,False
78,BFdIK20wHb0,1061028,44974,3818,5914,False,False
79,6BALmDghybk,491617,18949,436,1803,False,False
80,xJKHdOgA-e8,112077,5279,138,601,False,False
81,koUB3vl737c,96458,406,281,908,False,False
82,TITlnMA7bH8,1289179,110156,2098,5124,False,False
83,1SiKopOt-QM,5277237,53089,5521,2524,False,False
84,RsGGQAJ3Bb8,697157,0,0,0,True,True
85,6kUCDT6tG-Y,11425,69,2,9,False,False
86,tJf4ZW0_TNU,396463,28469,430,2201,False,False
87,nFpEuUY-zQ0,731035,3863,396,707,False,False
88,njZMg2m34SY,281201,4283,360,1194,False,False
89,S204OM-oXCE,125256,14039,139,1614,False,False
90,SRAuAfueJSs,117721,3556,37,674,False,False
91,SlTyxwaasLE,198924,1693,81,417,False,False
92,P4FbNH4UnMM,867001,7002,474,813,False,False
93,w5N2XLzit-E,704337,28123,724,10377,False,False
94,Zb4lpyD28l0,97158,130,49,74,False,False
95,ZY63ZSUdywY,1152786,40559,340,3556,False,False
96,TdyllLZeviY,2843450,246463,2879,13751,False,False
97,RXhf23650F8,31747,193,311,0,True,False
98,gHhFT9WsEN8,67128,335,43,153,False,False
99,sMLso2du91U,2443489,25971,1728,7924,False,False
100,4csQhMHvQWk,1190755,23255,558,1110,False,False
101,8dFhgkUYLDo,446570,3203,293,346,False,False
102,5RjbQrzz7W8,114421,3893,64,430,False,False
103,VbAYGsxN7EA,385326,11058,282,2393,False,False
104,WttN1Z0XF4k,476253,3417,176,240,False,False
105,04uUFyIj-mc,989958,2514,1232,751,False,False
106,8KfxGwZo-kM,1046158,11883,459,1483,False,False
107,bMWIDBnA6Z4,83499,4714,120,1163,False,False
108,yJqsPBWbtjk,747653,21211,2968,9342,False,False
